duplex,mm_location,huh7_pct_amplicon1,huh7_sd_amplicon1,huh7_pct_amplicon2,huh7_sd_amplicon2,aml12_pct_amplicon1,aml12_sd_amplicon1,aml12_pct_amplicon2,aml12_sd_amplicon2
TTR-473,393,78,2.7,69.4,3.1,,,,
TTR-474,394,49.4,4.7,53.6,4.2,,,,
TTR-482,6,7.2,8.4,,,,,,
TTR-483,1,4.4,3.7,,,,,,
TTR-484,0,4.9,6.2,,,,,,
TTR-485,32,26.1,3.9,,,,,,
TTR-489,4,5.6,14.1,,,,,,
TTR-493,7,11.8,6.2,,,,,,
TTR-494,9,4.9,10.3,,,,,,
TTR-581,122,92.4,2,,,,,,
TTR-631,10,3.7,14.9,,,,,,
TTR-632,15,2.8,6.6,,,,,,
TTR-635,9,7.2,17.9,,,,,,
TTR-636,11,3.3,19.3,,,,,,
TTR-637,2,3.5,4.4,,,,,,
TTR-639,12,7.9,1.7,,,,,,
TTR-640,2,4.1,4.1,,,,,,
TTR-641,7,3.2,3.7,,,,,,
TTR-642,9,6.1,11.2,,,,,,
TTR-643,0,2.1,12.4,,,,,,
TTR-644,2,4.5,2.7,,,,,,
TTR-645,4,1.7,9,,,,,,
TTR-646,2,3.6,9.7,,,,,,
TTR-647,7,4.4,6.6,,,,,,
TTR-648,0,2.3,3,,,,,,
TTR-649,10,4.5,4.5,,,,,,
TTR-650,0,1.5,5,,,,,,
TTR-651,0,1.6,16.1,,,,,,
TTR-652,5,4.7,5.7,,,,,,
TTR-653,5,2.5,3.2,,,,,,
TTR-654,3,2.9,1.7,,,,,,
TTR-655,6,4.2,6,,,,,,
TTR-656,2,2.7,8.9,,,,,,
TTR-657,1,2.1,7.6,,,,,,
TTR-658,8,2.1,2.4,,,,,,
TTR-659,7,1.3,6.6,,,,,,
TTR-660,1,2.7,15.5,,,,,,
TTR-661,9,1.2,7.8,,,,,,
TTR-662,4,2.5,4.4,,,,,,
TTR-663,19,15.5,5.7,,,,,,
TTR-664,3,2.5,4.1,,,,,,
TTR-665,6,6.7,8.3,,,,,,
TTR-666,18,13.2,5.9,,,,,,
TTR-667,4,2.3,5.7,,,,,,
TTR-668,0,1.3,22.1,,,,,,
TTR-669,9,2.5,14.5,,,,,,
TTR-670,1,3.1,12.7,,,,,,
TTR-671,33,30,4.2,,,,,,
TTR-672,10,12.5,13.2,,,,,,
TTR-673,7,2.8,6.6,,,,,,
TTR-674,5,5.2,8.6,,,,,,
TTR-675,10,5.4,7.5,,,,,,
TTR-676,2,2.3,14.4,,,,,,
TTR-677,10,3.6,3.3,,,,,,
TTR-678,5,3,2.2,,,,,,
TTR-679,7,4.6,2.1,,,,,,
TTR-680,8,2.3,19.4,,,,,,
TTR-681,5,3.3,14.7,,,,,,
TTR-682,7,2.9,14.6,,,,,,
TTR-683,3,1.8,19.8,,,,,,
TTR-684,0,2.8,11.6,,,,,,
TTR-685,2,1.6,12.6,,,,,,
TTR-686,2,2.5,18.3,,,,,,
TTR-687,11,7.2,7.9,,,,,,
TTR-688,3,8.3,7.8,,,,,,
TTR-689,14,5.7,14.5,,,,,,
TTR-690,1,1.3,3.6,,,,,,
TTR-691,2,2.5,7.5,,,,,,
TTR-692,2,1.9,12.3,,,,,,
TTR-693,3,2.3,5.7,,,,,,
TTR-694,6,1.9,7.8,,,,,,
TTR-695,6,4.8,10.1,,,,,,
TTR-696,5,4,7.7,,,,,,
TTR-697,9,6.2,13.9,,,,,,
TTR-698,5,3.5,8.4,,,,,,
TTR-699,11,7.8,6.8,,,,,,
TTR-702,2,2.9,10.8,,,,,,
TTR-704,6,3,35.4,,,,,,
TTR-705,4,4.3,3.5,,,,,,
TTR-706,13,5.5,7.2,,,,,,
TTR-707,0,6,8,,,,,,
TTR-708,1,4.2,6,,,,,,
TTR-709,3,3.4,29.2,,,,,,
TTR-710,4,7.4,22.9,,,,,,
TTR-711,1,2.5,23.9,,,,,,
TTR-712,3,2.1,10.4,,,,,,
TTR-713,5,10.4,11.7,,,,,,
TTR-714,3,2.9,13,,,,,,
TTR-716,0,3.4,10.6,,,,,,
TTR-717,5,4,9,,,,,,
TTR-718,2,2.7,3.2,,,,,,
TTR-719,0,2.8,6,,,,,,
TTR-720,3,2.4,8,,,,,,
TTR-721,4,3,6.4,,,,,,
TTR-722,0,3.7,5.3,,,,,,
TTR-723,3,5.3,7.3,,,,,,
TTR-724,2,12.6,9.4,,,,,,
TTR-725,6,3.2,16.1,,,,,,
TTR-726,1,2.4,14.2,,,,,,
TTR-727,0,2.1,10.5,,,,,,
TTR-728,10,7.4,3.5,,,,,,
TTR-731,10,7.4,2.8,,,,,,
TTR-732,4,7.5,2.4,,,,,,
TTR-733,13,17,3.6,,,,,,
TTR-734,16,20.3,8.7,,,,,,
TTR-735,85,76.9,12.7,,,,,,
TTR-736,78,75.4,9.9,,,,,,
TTR-738,89,79.8,9.5,,,,,,
TTR-739,96,96.5,3.7,,,,,,
TTR-740,121,84.8,12.7,,,,,,
TTR-741,93,98.4,10,,,,,,
TTR-742,97,100,3.6,,,,,,
TTR-743,101,114.3,6.4,,,,,,
TTR-744,122,97.1,1.7,,,,,,
TTR-745,88,74,14.7,,,,,,
TTR-746,77,74.5,3,,,,,,
TTR-747,72,79.8,2.8,,,,,,
TTR-748,89,72.5,2.9,,,,,,
TTR-749,110,90.2,10.3,,,,,,
TTR-750,134,112.6,5.3,,,,,,
TTR-751,72,96,8.4,,,,,,
TTR-752,104,100.6,7,,,,,,
TTR-753,94,83.9,10.7,,,,,,
TTR-754,106,82,5.8,,,,,,
TTR-755,85,80.9,3.7,,,,,,
TTR-756,92,76.5,2.5,,,,,,
TTR-757,109,88.3,3.8,,,,,,
TTR-758,129,115.3,4.5,,,,,,
TTR-759,93,110.3,2.9,,,,,,
TTR-760,107,103.3,3.3,,,,,,
TTR-761,96,96.8,8,,,,,,
TTR-762,95,92.1,4.4,,,,,,
TTR-763,83,97.2,3.9,,,,,,
TTR-764,101,105,3.6,,,,,,
TTR-765,95,95.6,9.9,,,,,,
TTR-766,108,120.1,1.9,,,,,,
TTR-767,94,104,1.4,,,,,,
TTR-768,102,99.6,7,,,,,,
TTR-769,96,94.9,7,,,,,,
TTR-770,94,90.6,4.3,,,,,,
TTR-771,91,95.1,4.9,,,,,,
TTR-772,100,82.8,3.8,,,,,,
TTR-773,93,89.4,7.4,,,,,,
TTR-775,102,109.1,1.8,,,,,,
TTR-780,93,99.5,7.8,,,,,,
TTR-781,103,93.6,3,,,,,,
TTR-784,100,84.1,6.1,,,,,,
TTR-805,88,81.8,6,,,,,,
TTR-806,87,86.8,6.8,,,,,,
TTR-807,95,91.4,4.2,,,,,,
TTR-808,87,86.3,3,,,,,,
TTR-809,118,126.5,3.4,,,,,,
TTR-810,81,110.6,6.4,,,,,,
TTR-811,103,102.3,3.6,,,,,,
TTR-812,89,94.1,2.6,,,,,,
TTR-813,89,99,4.7,,,,,,
TTR-814,83,94.7,3,,,,,,
TTR-815,90,87.5,8.4,,,,,,
TTR-816,94,93.5,3.8,,,,,,
TTR-817,94,97.4,2.9,,,,,,
TTR-818,86,99.2,3.8,,,,,,
TTR-819,79,83.1,3.2,,,,,,
TTR-821,86,91.4,4,,,,,,
TTR-822,84,89.8,1.3,,,,,,
TTR-823,92,91.7,3.8,,,,,,
TTR-824,91,94.9,1.8,,,,,,
TTR-825,92,94.4,5.8,,,,,,
TTR-826,110,109,4.1,,,,,,
TTR-827,73,89.3,8.5,,,,,,
TTR-828,99,100.2,3.6,,,,,,
TTR-829,91,91.8,1.3,,,,,,
TTR-830,93,97.3,5.5,,,,,,
TTR-831,88,95.6,0.6,,,,,,
TTR-832,90,88.9,4.4,,,,,,
TTR-833,92,88.6,2,,,,,,
TTR-834,106,106.3,3.4,,,,,,
TTR-835,87,102.5,5,,,,,,
TTR-869,84,94.8,6,,,,,,
TTR-870,90,86.7,2.4,,,,,,
TTR-873,83,91.3,1.8,,,,,,
TTR-874,86,91.5,6.1,,,,,,
TTR-875,107,101.9,14.3,,,,,,
TTR-876,90,78.2,7.7,,,,,,
TTR-877,88,87.7,3.3,,,,,,
TTR-878,92,99.5,2.3,,,,,,
TTR-879,89,92.3,6.5,,,,,,
TTR-880,89,84.2,4.4,,,,,,
TTR-881,93,88.8,3,,,,,,
TTR-882,95,88.4,4.6,,,,,,
TTR-883,98,79.6,6.1,,,,,,
TTR-884,111,87.8,0.6,,,,,,
TTR-885,91,88.7,1.9,,,,,,
TTR-886,95,101.6,13.9,,,,,,
TTR-887,110,110,7.6,,,,,,
TTR-888,97,91.7,1.9,,,,,,
TTR-889,99,85.1,3,,,,,,
TTR-890,89,93.3,3.2,,,,,,
TTR-891,89,84.8,4.1,,,,,,
TTR-892,93,82.2,4,,,,,,
TTR-893,114,100.2,3.4,,,,,,
TTR-894,73,83.8,2.5,,,,,,
TTR-895,91,86.4,2.4,,,,,,
TTR-896,91,86.5,3.1,,,,,,
TTR-897,95,89.1,3.5,,,,,,
TTR-898,101,97.5,2.6,,,,,,
TTR-899,99,89.4,3,,,,,,
TTR-900,88,86.4,1.9,,,,,,
TTR-901,91,97.4,1.9,,,,,,
TTR-902,72,78.7,5.6,,,,,,
TTR-903,102,93.2,2.4,,,,,,
TTR-904,98,87.9,4,,,,,,
TTR-905,90,89.7,3.9,,,,,,
TTR-906,95,91.8,1.2,,,,,,
TTR-908,101,90.7,2.8,,,,,,
TTR-909,93,82.2,1.7,,,,,,
TTR-911,90,85.8,1.4,,,,,,
TTR-912,79,83.2,3.8,,,,,,
TTR-913,92,87.7,1.7,,,,,,
TTR-914,103,95.3,5.6,,,,,,
TTR-915,98,86.2,3.5,,,,,,
TTR-916,99,95.4,0.7,,,,,,
TTR-917,99,92.4,3.5,,,,,,
TTR-918,101,93.1,7.8,,,,,,
TTR-919,98,89.2,7.1,,,,,,
