duplex,singledose_hepg2_qpcr,singledose_hepg2_bdna,ic50_hepg2_qpcr_nM,ic50_hepg2_bdna_nM,ic50_hep3b_qpcr_nM,ic50_hep3b_bdna_nM
AD-18313,120.65,53.26,ND,ND,ND,ND
AD-18314,116.33,ND,ND,ND,ND,ND
AD-18315,115.13,ND,ND,ND,ND,ND
AD-18316,118.73,122.34,ND,ND,ND,ND
AD-18317,114.03,121.10,ND,ND,ND,ND
AD-18318,80.85,122.57,ND,ND,ND,ND
AD-18319,119.14,148.87,ND,ND,ND,ND
AD-18320,22.86,55.43,ND,0.023,0.403,ND
AD-18321,6.44,31.56,0.001,0.033,ND,ND
AD-18322,54.21,100.46,ND,ND,ND,ND
AD-18323,6.37,28.71,0.005,0.023,ND,ND
AD-18324,2.53,15.98,0.002,0.006,0.005,0.014
AD-18325,2.52,11.96,0.001,0.016,ND,ND
AD-18326,18.34,43.16,0.025,0.186,ND,ND
AD-18327,18.28,13.90,0.044,0.215,ND,ND
AD-18328,4.53,26.04,0.003,0.004,0.006,0.006
AD-18329,96.93,131.54,ND,ND,ND,ND
AD-18330,11.80,45.18,0.0004,0.010,0.020,ND
AD-18331,117.77,163.07,ND,ND,ND,ND
AD-18332,11.53,35.09,0.001,0.076,0.065,ND
AD-18333,12.24,46.94,0.001,0.115,0.075,ND
AD-18334,16.27,55.28,0.0004,0.181,1.071,ND
AD-18335,53.52,112.80,ND,ND,ND,ND
AD-18336,6.39,33.00,0.001,0.112,0.081,ND
AD-18337,51.77,105.33,ND,ND,ND,ND
AD-18338,48.21,102.86,ND,ND,ND,ND
AD-18339,6.48,26.56,0.004,0.002,0.018,0.029
AD-18340,4.53,30.76,0.002,0.002,ND,ND
AD-18341,31.27,100.41,ND,ND,ND,ND
AD-18342,7.60,42.89,ND,0.016,0.076,ND
AD-18343,3.42,17.45,ND,0.001,ND,ND
AD-18344,75.08,134.31,ND,ND,ND,ND
AD-18345,13.62,42.75,0.002,0.013,ND,ND
AD-18346,59.25,121.10,ND,ND,ND,ND
AD-18347,91.23,139.54,ND,ND,ND,ND
AD-18348,89.95,159.29,ND,ND,ND,ND
AD-18349,108.01,144.96,ND,ND,ND,ND
AD-18350,123.65,125.87,ND,ND,ND,ND
AD-18351,108.36,104.02,ND,ND,ND,ND
AD-18352,87.82,128.72,ND,ND,ND,ND
AD-18353,14.40,65.77,0.012,0.027,ND,ND
AD-18354,99.27,123.53,ND,ND,ND,ND
AD-18355,135.04,150.88,ND,ND,ND,ND
AD-18356,100.76,178.96,ND,ND,ND,ND
AD-18357,125.30,162.85,ND,ND,ND,ND
AD-18358,103.15,136.01,ND,ND,ND,ND
AD-18359,34.74,140.48,ND,ND,ND,ND
AD-18360,103.86,146.86,ND,ND,ND,ND
AD-18361,105.74,152.74,ND,ND,ND,ND
AD-18362,106.96,188.22,ND,ND,ND,ND
AD-18363,124.22,58.46,ND,ND,ND,ND
AD-18364,113.75,66.87,ND,ND,ND,ND
AD-18446,29.73,13.30,ND,ND,ND,ND
AD-18447,109.74,53.63,ND,ND,ND,ND
AD-18448,22.96,8.81,ND,ND,ND,ND
AD-18449,112.59,50.11,ND,ND,ND,ND
AD-18450,89.41,34.89,ND,ND,ND,ND
AD-18451,74.35,23.88,ND,ND,ND,ND
AD-18452,125.25,54.86,ND,ND,ND,ND
AD-18453,126.98,56.31,ND,ND,ND,ND
AD-18454,113.88,52.48,ND,ND,ND,ND
AD-18455,163.00,48.89,ND,ND,ND,ND
AD-18456,15.70,10.52,ND,ND,ND,ND
AD-18457,12.86,8.22,ND,ND,ND,ND
AD-18458,13.00,7.00,ND,ND,ND,ND
AD-18459,14.41,10.72,ND,ND,ND,ND
AD-18460,121.16,74.87,ND,ND,ND,ND
AD-18461,100.53,71.87,ND,ND,ND,ND
AD-18462,47.75,29.35,ND,ND,ND,ND
AD-18463,58.98,44.79,ND,ND,ND,ND
